  locus,TER1,TER2,TER3,TER7,TER8,TER9
PROKKA_00001_igtop,211,74,162,111,80,83
PROKKA_00001_igbot,7,7,7,13,11,6
PROKKA_00001_sense,1127,1198,1000,537,543,503
PROKKA_00001_antis,20,31,22,14,10,25
PROKKA_00002_igtop,25,29,34,5,12,16
PROKKA_00002_igbot,0,0,0,0,0,0
PROKKA_00002_sense,997,710,944,388,448,434
PROKKA_00002_antis,9,8,18,2,9,9
PROKKA_00003_igtop,4,1,4,0,2,4
PROKKA_00003_igbot,0,0,0,0,0,0
PROKKA_00003_sense,2616,1425,1749,1011,1004,1034
PROKKA_00003_antis,8,29,26,5,13,16
PROKKA_00004_igtop,0,0,0,0,0,0
PROKKA_00004_igbot,0,0,0,0,0,0
PROKKA_00004_sense,1424,986,1397,747,645,696
PROKKA_00004_antis,87,67,100,66,68,47
PROKKA_00005_igtop,1,0,0,0,0,0
PROKKA_00005_igbot,3,0,3,0,0,1
PROKKA_00005_sense,143,131,149,63,53,75
PROKKA_00005_antis,11,5,14,4,5,5
PROKKA_00006_igtop,0,0,2,2,0,0
PROKKA_00006_igbot,7,5,13,6,2,3
PROKKA_00006_sense,161,127,135,117,96,75
PROKKA_00006_antis,13,12,12,9,14,13
PROKKA_00007_igtop,7,4,16,6,18,5
PROKKA_00007_igbot,0,0,1,0,0,1
PROKKA_00007_sense,9,2,5,2,5,3
PROKKA_00007_antis,6,6,5,3,5,8
PROKKA_00008_igtop,1,0,0,0,0,0
PROKKA_00008_igbot,0,0,1,0,1,0
PROKKA_00008_sense,430,293,317,199,227,166
PROKKA_00008_antis,6,10,12,9,2,5
PROKKA_00009_igtop,0,0,0,0,0,0
PROKKA_00009_igbot,0,0,0,0,0,0
PROKKA_00009_sense,381,258,319,163,172,198
PROKKA_00009_antis,4,6,3,3,2,3
PROKKA_00010_igtop,6,7,15,5,8,8
PROKKA_00010_igbot,0,0,0,0,0,0
PROKKA_00010_sense,33,28,30,25,16,17
PROKKA_00010_antis,0,3,0,2,2,1
PROKKA_00011_igtop,53,51,60,32,34,44
PROKKA_00011_igbot,0,1,0,0,0,0
PROKKA_00011_sense,686,593,705,212,317,246
PROKKA_00011_antis,24,46,30,32,19,30
PROKKA_00012_igtop,163,209,138,55,125,40
PROKKA_00012_igbot,0,0,0,0,2,0
PROKKA_00012_sense,80,67,82,40,46,36
PROKKA_00012_antis,5,6,5,3,5,6
PROKKA_00013_igtop,25,12,25,5,0,5
PROKKA_00013_igbot,1,0,2,0,2,2
PROKKA_00013_sense,63,37,79,37,29,17
