"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_00001_igtop"	110.705065112865	0.117350338479433	0.267191949817004	0.439153887233205	0.660550035228953	0.999614234190279
"PROKKA_00001_igbot"	8.86899560976515	0.583593154508024	0.289615827472251	2.01204531458509	0.0442151604326445	NA
"PROKKA_00001_sense"	704.995570952642	-0.339994393809758	0.230740392576322	-1.47335705842707	0.140654782735364	0.99451336118221
"PROKKA_00001_antis"	18.2460267354429	0.0413676856690278	0.290156699781229	0.142558853247893	0.886638595827329	0.999614234190279
"PROKKA_00002_igtop"	19.8326378717991	-0.0714896204395106	0.290620795691479	-0.244520338968783	0.806827851745142	0.999614234190279
"PROKKA_00002_sense"	608.966915653602	-0.0830665664800126	0.220035036368277	-0.377482609349002	0.705814985870452	0.999614234190279
"PROKKA_00002_antis"	5.61182132723628	-0.406444977367436	0.272914252415147	-1.47540314416308	0.140104190571617	NA
"PROKKA_00003_igtop"	1.94146936431625	-0.0111414999761921	0.214337100678835	-0.0508270624823942	0.959463326000257	NA
"PROKKA_00003_sense"	1408.42505686039	0.0509781734647932	0.238055728256908	0.214145124908657	0.830433887314414	0.999614234190279
"PROKKA_00003_antis"	14.7691104257849	-0.0506130625184687	0.291566243682426	-0.173375134622618	0.862356568813017	0.999614234190279
"PROKKA_00004_sense"	844.828257209296	-0.165180488321362	0.218901360416493	-0.754555990032205	0.450515438651067	0.999614234190279
"PROKKA_00004_antis"	60.5827157865608	0.013899287871056	0.258427598592249	0.0537768875656615	0.957112923918181	0.999614234190279
"PROKKA_00005_sense"	74.5547019817065	-0.723210676961015	0.271940084642743	-2.6487946761845	0.00807793921060565	0.297369137190421
"PROKKA_00005_antis"	5.7881302167727	-0.195258371088895	0.277930000698985	-0.699843846391378	0.484024828932736	NA
"PROKKA_00006_igbot"	6.13177519241693	0.0332306333518696	0.277449046307563	0.120338347984466	0.904215127522339	NA
"PROKKA_00006_sense"	97.1263828036934	-0.0935568877626147	0.246669009117446	-0.37908588202567	0.70462408978892	0.999614234190279
"PROKKA_00006_antis"	8.80180750667109	0.0130005649108181	0.289467910878151	0.0446390468159974	0.964395018807389	NA
"PROKKA_00007_igtop"	7.18028992286029	0.150243530310039	0.283539041160862	0.528671053207067	0.597033660999907	NA
"PROKKA_00007_sense"	3.88488329075449	0.0557464047424308	0.252843064793754	0.216563591627858	0.828548462017043	NA
"PROKKA_00007_antis"	2.93305022478965	-0.260440792560414	0.243901075129992	-1.077031599997	0.281466148630247	NA
"PROKKA_00008_sense"	239.511432806717	-0.0919822618202451	0.236568811149847	-0.388876315027828	0.697367643733461	0.999614234190279
"PROKKA_00008_antis"	7.17448705913314	0.0780431308914356	0.28492804277501	0.273625920116001	0.784372112567421	NA
"PROKKA_00009_sense"	219.455561465388	-0.0911120967825936	0.236434725296365	-0.385303318338517	0.700012703297376	0.999614234190279
"PROKKA_00009_antis"	3.48162914338397	0.0597457042544582	0.250231177646892	0.238490193811605	0.811500920172375	NA
"PROKKA_00010_igtop"	7.36755450132505	0.135337015454269	0.283376924871054	0.475028460070825	0.634766688084281	NA
"PROKKA_00010_sense"	21.1502406106019	-0.0599583622637408	0.288183972329313	-0.208311309361307	0.834985901744236	0.999614234190279
"PROKKA_00011_igtop"	65.9794925661282	0.917272123977134	0.257807945788369	3.55631824892664	0.000376088453692564	0.034079399880757
"PROKKA_00011_sense"	474.239166107241	0.0015912049230625	0.228950358450049	0.00695028694247958	0.994454518002609	0.999614234190279
"PROKKA_00011_antis"	26.1980570130835	0.11459174164896	0.286991067575007	0.399062404424594	0.68984722309891	0.999614234190279
"PROKKA_00012_igtop"	147.691090543087	0.308220638710364	0.273450905986155	1.12649845363436	0.259954594758075	0.999614234190279
"PROKKA_00012_sense"	57.9851463351564	0.132423756817139	0.262765140182865	0.50339655508415	0.614685493160379	0.999614234190279
"PROKKA_00012_antis"	4.51663161089469	0.12187841709076	0.266799203329042	0.457258900033581	0.647484967306943	NA
"PROKKA_00013_igtop"	14.9071734335206	0.0500541891428923	0.292022164938611	0.170890543433356	0.864309832531484	0.999614234190279
"PROKKA_00013_sense"	42.696861160071	0.0340317929013861	0.273177370660654	0.124593037324074	0.900845740854404	0.999614234190279
"PROKKA_00013_antis"	10.6450933077636	0.158494472608199	0.289604883719518	0.544291770779912	0.586240708912491	0.999614234190279
"PROKKA_00014_igtop"	3.3606928019519	0.490401304187419	0.243481623658455	2.02170556950522	0.0432067781578058	NA
"PROKKA_00014_sense"	5.26481251315633	0.16248931884159	0.266894980449944	0.609619760727959	0.542113718431436	NA
"PROKKA_00014_antis"	8.1366985803721	0.0681180413124866	0.283991025972388	0.241109241789257	0.809470450138396	NA
"PROKKA_00015_igtop"	3.85739755533493	0.132136583761526	0.235705322617888	0.569715756547485	0.568870501439745	NA
"PROKKA_00015_igbot"	13.1096669961402	-0.116749920233015	0.292236866916412	-0.397864686398573	0.690729931914397	0.999614234190279
"PROKKA_00015_sense"	9.24543524754415	-0.0719429821418991	0.288215685305234	-0.251054956735769	0.801771620091333	0.999614234190279
"PROKKA_00016_igbot"	17.7886027755265	0.0744329492111059	0.291960242487406	0.256593250531589	0.79749278589651	0.999614234190279
"PROKKA_00016_sense"	120.091795089541	-0.176021592037826	0.247104207921624	-0.711972591674964	0.47648174850108	0.999614234190279
"PROKKA_00016_antis"	2.81772349065837	-0.0896257490378227	0.23439278903683	-0.378860156790917	0.704791712695867	NA
"PROKKA_00017_sense"	35.8355869938414	-0.491258786733104	0.276160289097324	-1.77231664721679	0.076342009363851	0.847072719283672
"PROKKA_00018_sense"	48.2161138867348	-0.279032540361838	0.263614695849832	-1.0572567271981	0.290394436574211	0.999614234190279
"PROKKA_00019_igbot"	5.91795895725906	0.00778070499332241	0.269331638789907	0.0288341806429034	0.976996839995227	NA
"PROKKA_00019_sense"	554.085235404518	-0.274738788473558	0.223067857135248	-1.23139094091983	0.218176683519983	0.999614234190279
"PROKKA_00019_antis"	6.66898024278532	-0.208268282926886	0.269205005794202	-0.773637799931625	0.439145012115911	NA
"PROKKA_00020_igtop"	91.2757452551318	-0.00399926332653701	0.276966719993622	-0.0144400699910088	0.988478891487169	0.999614234190279
"PROKKA_00020_igbot"	230.007195100666	-0.0142404001128767	0.284200866215921	-0.0501025681681865	0.960040653208197	0.999614234190279
"PROKKA_00020_sense"	219.476245579198	-0.222310923354773	0.24324860725238	-0.914078092954991	0.360675812774943	0.999614234190279
"PROKKA_00020_antis"	3.1136095352778	0.0681891834903598	0.242523615143615	0.27688099998945	0.781871482268311	NA
"PROKKA_00022_igtop"	66.2727822034102	0.316026690103539	0.272191078017594	1.16097083938334	0.245653758410523	0.999614234190279
"PROKKA_00022_sense"	10.6366521159431	-0.0880040101297999	0.290800205234683	-0.300883554182955	0.763503291423697	0.999614234190279
"PROKKA_00022_antis"	4.08970130391257	0.0654525126705927	0.262787065279059	0.246966854999113	0.804933875524905	NA
"PROKKA_00023_sense"	11.552036404455	0.0800947513496558	0.292319333252598	0.274242236722117	0.783898471640953	0.999614234190279
"PROKKA_00023_antis"	4.73546532367545	-0.0573552199479293	0.269034026629122	-0.213958650937383	0.830579302239129	NA
"PROKKA_00024_igtop"	4.70351988800183	0.00154301288288954	0.258990393315203	0.00584558169061397	0.995335927182699	NA
"PROKKA_00024_sense"	75.4306095035323	-0.108887769303424	0.252198735386566	-0.432017968717569	0.66572835354585	0.999614234190279
"PROKKA_00024_antis"	3.26984215158219	-0.0873328219684622	0.251026730199168	-0.345203865594083	0.729941112866125	NA
"PROKKA_00025_sense"	18.6496458839671	-0.0635755841797354	0.290633724734673	-0.219513701653428	0.826249907756989	0.999614234190279
"PROKKA_00026_igtop"	13.0237725400713	0.0296287570628173	0.292179041156374	0.101927992025924	0.918813831245528	0.999614234190279
