"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"PROKKA_00001_igtop"	110.705065112865	0.0184014357718998	0.126796161613819	0.660550035228953	0.999614234190279
"PROKKA_00001_igbot"	8.86899560976515	0.054336323429255	0.146688112374939	0.0442151604326445	NA
"PROKKA_00001_sense"	704.995570952642	-0.0880731679926972	0.154607100381652	0.140654782735364	0.99451336118221
"PROKKA_00001_antis"	18.2460267354429	0.00462286045772747	0.128517922995059	0.886638595827329	0.999614234190279
"PROKKA_00002_igtop"	19.8326378717991	-0.00774351143595245	0.128782127238658	0.806827851745142	0.999614234190279
"PROKKA_00002_sense"	608.966915653602	-0.0201340138071889	0.120238004038961	0.705814985870452	0.999614234190279
"PROKKA_00002_antis"	5.61182132723628	-0.0302761738971606	0.136161752204938	0.140104190571617	NA
"PROKKA_00003_igtop"	1.94146936431625	-0.000660696487810562	0.131912485345042	0.959463326000257	NA
"PROKKA_00003_sense"	1408.42505686039	0.0104979934493185	0.121817363120032	0.830433887314414	0.999614234190279
"PROKKA_00003_antis"	14.7691104257849	-0.00457583503847042	0.129838918082141	0.862356568813017	0.999614234190279
"PROKKA_00004_sense"	844.828257209296	-0.0415744763286652	0.125451168471291	0.450515438651067	0.999614234190279
"PROKKA_00004_antis"	60.5827157865608	0.0024427864639147	0.124091326706143	0.957112923918181	0.999614234190279
"PROKKA_00005_sense"	74.5547019817065	-0.488424745694696	1.16416316563288	0.00807793921060565	0.297369137190421
"PROKKA_00005_antis"	5.7881302167727	-0.0149373173434053	0.132047507357007	0.484024828932736	NA
"PROKKA_00006_igbot"	6.13177519241693	0.00256693358910148	0.130879261390497	0.904215127522339	NA
"PROKKA_00006_sense"	97.1263828036934	-0.0177848328309478	0.123940747775643	0.70462408978892	0.999614234190279
"PROKKA_00006_antis"	8.80180750667109	0.00118675320164886	0.130056305784175	0.964395018807389	NA
"PROKKA_00007_igtop"	7.18028992286029	0.0121520340999354	0.131343164781082	0.597033660999907	NA
"PROKKA_00007_sense"	3.88488329075449	0.00386344374349938	0.131510046324838	0.828548462017043	NA
"PROKKA_00007_antis"	2.93305022478965	-0.0168873601200429	0.133243001997304	0.281466148630247	NA
"PROKKA_00008_sense"	239.511432806717	-0.0191703149124488	0.122734134104325	0.697367643733461	0.999614234190279
"PROKKA_00008_antis"	7.17448705913314	0.0064096142143351	0.130680228240906	0.784372112567421	NA
"PROKKA_00009_sense"	219.455561465388	-0.0190736334314527	0.122683492666083	0.700012703297376	0.999614234190279
"PROKKA_00009_antis"	3.48162914338397	0.00402185610624743	0.13158599487513	0.811500920172375	NA
"PROKKA_00010_igtop"	7.36755450132505	0.0109403661119467	0.131189557255452	0.634766688084281	NA
"PROKKA_00010_sense"	21.1502406106019	-0.00684016532022092	0.128280487977924	0.834985901744236	0.999614234190279
"PROKKA_00011_igtop"	65.9794925661282	1.01367550086313	0.396492983493567	0.000376088453692564	0.034079399880757
"PROKKA_00011_sense"	474.239166107241	0.000826212542066642	0.119986853154202	0.994454518002609	0.999614234190279
"PROKKA_00011_antis"	26.1980570130835	0.0137016875677054	0.128769285593579	0.68984722309891	0.999614234190279
"PROKKA_00012_igtop"	147.691090543087	0.0467822507791179	0.136924798706518	0.259954594758075	0.999614234190279
"PROKKA_00012_sense"	57.9851463351564	0.0218297037911884	0.126839688632259	0.614685493160379	0.999614234190279
"PROKKA_00012_antis"	4.51663161089469	0.00876012789335355	0.131588082941903	0.647484967306943	NA
"PROKKA_00013_igtop"	14.9071734335206	0.00520855485845636	0.129078096128713	0.864309832531484	0.999614234190279
"PROKKA_00013_sense"	42.696861160071	0.00498068258628846	0.126045164884173	0.900845740854404	0.999614234190279
"PROKKA_00013_antis"	10.6450933077636	0.0139675831635688	0.131086921934616	0.586240708912491	0.999614234190279
"PROKKA_00014_igtop"	3.3606928019519	0.0321297696968192	0.137559988376592	0.0432067781578058	NA
"PROKKA_00014_sense"	5.26481251315633	0.0116864090050349	0.131920873488845	0.542113718431436	NA
"PROKKA_00014_antis"	8.1366985803721	0.0055243649557066	0.130701804598938	0.809470450138396	NA
"PROKKA_00015_igtop"	3.85739755533493	0.00842968328404271	0.132126521869105	0.568870501439745	NA
"PROKKA_00015_igbot"	13.1096669961402	-0.0117558815729202	0.129791721203705	0.690729931914397	0.999614234190279
"PROKKA_00015_sense"	9.24543524754415	-0.00603332924491207	0.13043246739935	0.801771620091333	0.999614234190279
"PROKKA_00016_igbot"	17.7886027755265	0.00768215791448369	0.129286515453847	0.79749278589651	0.999614234190279
"PROKKA_00016_sense"	120.091795089541	-0.03379400731966	0.12776330849508	0.47648174850108	0.999614234190279
"PROKKA_00016_antis"	2.81772349065837	-0.00567300017960298	0.131900155155917	0.704791712695867	NA
"PROKKA_00017_sense"	35.8355869938414	-0.0781948671742343	0.158561321458795	0.076342009363851	0.847072719283672
"PROKKA_00018_sense"	48.2161138867348	-0.0469833180910066	0.135397173034695	0.290394436574211	0.999614234190279
