"ID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_02929_antis"	9.10402636188921	0.268431119816508	0.620576692528365	0.432551081999005	0.665340934226337	NA
"PROKKA_02930_sense"	20.4159944825682	-0.173658530589322	0.416504590939605	-0.416942656496439	0.676720351725972	NA
"PROKKA_02930_antis"	5.27612235905951	-1.6812457430087	0.873799286815422	-1.92406399086915	0.0543465629782521	NA
"PROKKA_02931_igbot"	7.57829513429418	-2.90135092960021	0.86338852112031	-3.36042333043239	0.000778231272451957	NA
"PROKKA_02931_sense"	764.423583854843	-2.06373643100248	0.164765912909541	-12.5252632329085	5.43108601184793e-36	4.44534390069753e-33
"PROKKA_02931_antis"	22.1306235278717	-0.524779502225081	0.410829258438029	-1.27736642764999	0.201472911572442	NA
"PROKKA_02932_igbot"	3.80418993165247	0.886168659799963	0.938912280496493	0.943824762129387	0.345259204593072	NA
"PROKKA_02932_sense"	3.8227989799043	-1.34822620206359	1.02158930087055	-1.31973406623845	0.186923821962434	NA
"PROKKA_02932_antis"	26.8428989951398	-0.428956565802466	0.389677105093392	-1.10080002185312	0.270983702256502	0.551056298874402
"PROKKA_02933_igtop"	2.11714190173123	-0.447567118566135	1.30959397576866	-0.341760214881437	0.732531352561442	NA
"PROKKA_02933_sense"	18.969834450806	-0.693796418897038	0.450230715296931	-1.54097975843224	0.123321712451964	NA
"PROKKA_02934_antis"	1.99188597713231	0.238798105647686	1.30177968926142	0.183439723032682	0.854453010157446	NA
"PROKKA_02935_antis"	3.05216030903866	1.23314572053166	1.05561289166441	1.16817986050486	0.242734222347296	NA
"PROKKA_02936_sense"	5.1325566081981	-0.678740108948541	0.870280086272865	-0.779909961924293	0.435443874349537	NA
"PROKKA_02936_antis"	2.96401886842072	0.248662426699002	1.0833913151078	0.229522263314672	0.818463018814823	NA
"PROKKA_02937_sense"	31.5633798327788	-0.747581952596396	0.353833292259831	-2.11280840144184	0.034617170301526	0.15780079644675
"PROKKA_02937_antis"	2.32981233472834	-1.76581214909323	1.29308942514659	-1.3655762043627	0.172072019568729	NA
"PROKKA_02938_sense"	4.93033019591823	-0.403237515199422	0.833683132424575	-0.483681988415309	0.628611577860222	NA
"PROKKA_02939_sense"	19.510218375292	0.0785139241522761	0.440280824197369	0.178326921903553	0.858466237036948	NA
"PROKKA_02940_sense"	30.7249528392739	0.322128506519128	0.341979481668882	0.941952730459502	0.346216841420714	0.624869867040472
"PROKKA_02941_igbot"	8.45644178464261	-0.0998974801951274	0.617668004431572	-0.16173329276957	0.871515885844657	NA
"PROKKA_02941_sense"	191.229470641084	0.20702054299061	0.18953638257536	1.09224698803301	0.274724554352002	0.554982706594285
"PROKKA_02942_igtop"	52.2743111473759	-0.267145496183991	0.305774755526408	-0.873667597981022	0.382299301518509	0.65932438051356
"PROKKA_02942_igbot"	130.59769008132	-0.0250762656070093	0.208612380375466	-0.120205069142476	0.904320702299966	0.964202989360646
"PROKKA_02942_sense"	70.8949947048674	0.591477372583637	0.260362701083252	2.27174387929902	0.0231019842568842	0.123722840442266
