"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"PROKKA_00001_igtop"	121.286919244677	0.0735107485416433	0.152011998887641	0.237550766766007	0.865992423369462
"PROKKA_00001_igbot"	10.6055540490012	-0.0145154590464404	0.171135735027087	0.750782611068699	0.99042735764765
"PROKKA_00001_sense"	643.11671994238	0.0418380102255196	0.12790246124857	0.496234163503528	0.967872460112788
"PROKKA_00001_antis"	15.2622096425993	-0.081213723724411	0.224916958242273	0.159264725472203	0.790257961028055
"PROKKA_00002_igtop"	17.4518671151333	0.0911900534557993	0.230633070480507	0.130490609012678	0.751335230132474
"PROKKA_00002_sense"	521.209508427769	0.0510413190745512	0.129603729170485	0.413086950436836	0.951702112404381
"PROKKA_00002_antis"	7.42044054710194	-0.00116687628129057	0.179478601012193	0.978608056083855	0.997690312844307
"PROKKA_00003_igtop"	2.0242352483498	-0.012911113773886	0.241838272309406	0.75646442731975	NA
"PROKKA_00003_sense"	1250.56987865524	0.0435780653718647	0.130135904400701	0.476958491397157	0.967259102845676
"PROKKA_00003_antis"	10.4601069354178	-0.0549721361655866	0.206460133310231	0.2827473997777	0.894657188515093
"PROKKA_00004_sense"	892.428215256286	0.067379537553768	0.138479300661951	0.288045003091661	0.895531078621961
"PROKKA_00004_antis"	65.1306172082918	-0.0242054913326346	0.139603038141454	0.667064524883887	0.986053833939652
"PROKKA_00005_sense"	73.0693662745004	-0.00726509908461198	0.138237094345675	0.895692386110388	0.997031032297927
"PROKKA_00005_antis"	5.18361537576403	-0.00368933675152895	0.188883230496896	0.931111184844434	NA
"PROKKA_00006_igbot"	3.74214628409164	-0.0202559511392954	0.214126507839408	0.639060730736152	NA
"PROKKA_00006_sense"	96.8894048304893	-0.0761237874441488	0.1554948500118	0.22112606218625	0.855867878583989
"PROKKA_00006_antis"	11.9888046667018	-0.0323648629053787	0.174075652863338	0.503568682303838	0.96851516032602
"PROKKA_00007_igtop"	8.41600113167784	-0.0426775805780255	0.204656626412462	0.374965324291264	0.938853868766148
"PROKKA_00007_sense"	4.35489180384863	0.0211355542029402	0.207727656058755	0.627045856433364	NA
"PROKKA_00007_antis"	7.78138076288701	0.0406224117035661	0.201791751475002	0.394789572077301	0.945880872314762
"PROKKA_00008_sense"	251.370734513295	0.0830699112297975	0.141576512416277	0.206646456408737	0.843572018666166
"PROKKA_00008_antis"	5.05428824578364	-0.0410096492231883	0.229945646413159	0.383266191651428	NA
"PROKKA_00009_sense"	227.047126751405	0.0629034777344004	0.140048195090894	0.312985566759972	0.91066624379381
"PROKKA_00009_antis"	2.73332726426198	-0.0157800386867807	0.224445891183151	0.709534324938475	NA
"PROKKA_00010_igtop"	7.35432393361506	-0.0145156780481751	0.179500457743539	0.74394362735161	0.99042735764765
"PROKKA_00010_sense"	22.5121272493038	0.00115278554975412	0.152813186589019	0.981517849514632	0.998125006130868
"PROKKA_00011_igtop"	42.8454631311695	0.00391192964789047	0.145415437783253	0.940705553439534	0.997031032297927
"PROKKA_00011_sense"	326.937282685605	0.0807358245092879	0.141573957050924	0.216716135082653	0.851325432336812
"PROKKA_00011_antis"	24.1944817815115	-0.143435808636451	0.275203486471478	0.0528096946086426	0.543951138591799
"PROKKA_00012_igtop"	78.4687575102454	-0.00261719122445087	0.14208678230131	0.961235912120946	0.997031032297927
"PROKKA_00012_sense"	35.9648615560355	-0.18323334748122	0.267991095649606	0.0282606528731701	0.420759424989675
