"ID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_05277_igbot"	839.481453986862	-0.352223121748875	0.243237431935027	-1.44806298498892	0.147599436355446	0.981676150323288
"PROKKA_05277_sense"	20332.4337066727	-0.0247177288072845	0.256896498150553	-0.0962166825364774	0.923348481538054	0.997925086417305
"PROKKA_05277_antis"	234.430743268166	-0.770185478640012	0.360024579288326	-2.13925804777681	0.0324147753152923	0.765100472528192
"PROKKA_05278_igtop"	356.741270257135	0.195295081140446	0.3389717380173	0.576139716788067	0.564520747908551	0.997925086417305
"PROKKA_05278_igbot"	28080.7336945887	0.318681109897192	0.319786315130083	0.996543925801072	0.318985935619916	0.995907598309771
"PROKKA_05278_sense"	152.268771511424	-0.342287194983005	0.305487411264047	-1.12046252107963	0.262516715190759	0.995907598309771
"PROKKA_05278_antis"	52.009834327289	0.0218625956736047	0.375265525076714	0.0582590038590286	0.953542322201767	0.997925086417305
"PROKKA_05279_igtop"	13.5108709223933	-0.0472892468485267	0.561393841469181	-0.0842354214730423	0.932869255992606	NA
"PROKKA_05279_sense"	7.35282435408849	0.662593607218282	0.755798510356205	0.876680223815212	0.380660351276895	NA
"PROKKA_05280_igtop"	2.79952529025656	-0.142327258041519	1.21074525837419	-0.117553430052361	0.906421506437144	NA
"PROKKA_05280_sense"	48.5404094568303	0.482431861335264	0.376721756080537	1.28060525719181	0.20033235251358	0.995907598309771
"PROKKA_05280_antis"	22.4794127557937	-0.649994303112651	0.483197225573175	-1.34519460938878	0.178562396587637	0.995907598309771
"PROKKA_05281_sense"	188.623563138113	-0.433095143735594	0.265287261834882	-1.63255159987726	0.102563337700894	0.931339842114574
"PROKKA_05282_sense"	5.50457332072176	-0.986244605853571	0.870263017763465	-1.13327187956139	0.257100096929793	NA
"PROKKA_05283_igtop"	3.93740036130444	-0.231336315255914	0.9973227779059	-0.231957316508559	0.816571166159316	NA
"PROKKA_05283_igbot"	2.22694518926256	0.810157240479681	1.2754385571802	0.635198956405092	0.525298663806889	NA
"PROKKA_05283_sense"	134.677779981557	0.59007865235607	0.301709495801617	1.95578415849418	0.0504905857958137	0.880448489698025
"PROKKA_05283_antis"	8.20189038806247	-0.137794088072146	0.78124555893352	-0.176377435361359	0.859997430729703	NA
"PROKKA_05284_igbot"	1.61264103102731	-0.29486981177928	1.45943884167154	-0.202043280855507	0.839882888608749	NA
"PROKKA_05284_sense"	1.86229234754115	-0.153730502125074	1.34804888104312	-0.11403926392203	0.909206668346936	NA
"PROKKA_05285_igbot"	4.9428444965061	-0.713102470692445	0.92299609844214	-0.77259532504638	0.439761912082485	NA
"PROKKA_05285_sense"	274.934675712199	-0.13761357062183	0.261532546766796	-0.526181434483325	0.598762152072172	0.997925086417305
"PROKKA_05285_antis"	2.76744798114222	-0.888068870584209	1.21698091975946	-0.729731137247194	0.465554544382306	NA
"PROKKA_05286_sense"	5.0210193986484	-1.01170570878181	1.04829162018175	-0.96509949073752	0.334494982008066	NA
"PROKKA_05287_igtop"	23.4143337082921	0.5393847449955	0.530255952263706	1.01721582321297	0.309050770289415	0.995907598309771
"PROKKA_05287_igbot"	1.68855511490416	0.319226309475347	1.45118933032277	0.219975645358655	0.825890122332153	NA
"PROKKA_05287_sense"	124.001481520322	0.0128325190075594	0.298568686043876	0.0429801235273333	0.965717378337467	0.997925086417305
"PROKKA_05288_sense"	37.0217703261881	-0.0831280340730911	0.381108826244355	-0.218121513721627	0.827334435420486	0.997925086417305
"PROKKA_05288_antis"	4.07566675866157	-0.248374317065165	0.941608949819503	-0.26377650415576	0.791952140513208	NA
"PROKKA_05289_sense"	118.197153046516	-0.350545907819098	0.308189649831793	-1.13743569263414	0.255356193406374	0.995907598309771
"PROKKA_05289_antis"	1.43535161537867	-3.6393161381264	1.76194111450461	-2.06551519126655	0.0388742796699658	NA
"PROKKA_05290_sense"	11.6984881376594	-0.356607335950282	0.608520381677515	-0.586023651282178	0.557859621170322	NA
"PROKKA_05291_igtop"	16.3063808991056	0.189426352755859	0.532276718555847	0.355879462978962	0.72193083643164	0.997925086417305
"PROKKA_05291_sense"	2.38131898179028	0.450932363986195	1.30146368360985	0.346480942699415	0.728981303836172	NA
"PROKKA_05292_igtop"	11.0240914797698	0.353292834140664	0.606944292931032	0.582084448697187	0.560509799595342	NA
"PROKKA_05292_sense"	27.5581254869526	0.317572516186813	0.476801747354929	0.666047299424878	0.505380868036798	0.995907598309771
"PROKKA_05293_igtop"	8.00315617486056	0.354327828813853	0.73480883307968	0.48220409562691	0.629660967676878	NA
"PROKKA_05293_sense"	29.4008741579775	0.33666457601522	0.445096558038744	0.756385485205022	0.449418107904593	0.995907598309771
"PROKKA_05294_sense"	5.16730466222825	-0.00744023200587489	0.82512752218361	-0.00901706924789653	0.992805517157826	NA
"PROKKA_05295_sense"	2.32681230519013	-1.23020197037556	1.34052645055179	-0.917700631620649	0.358775616912848	NA
"PROKKA_05297_igtop"	2.19650126338782	-0.878614156942795	1.49801592135056	-0.586518570610829	0.557527085707418	NA
"PROKKA_05297_sense"	5.85788346545251	0.822664421728856	0.820493764787643	1.00264554958778	0.316031910296722	NA
"PROKKA_05298_sense"	61.9722627177197	-0.397817209614173	0.369870169221112	-1.07555905482162	0.282124507673006	0.995907598309771
"PROKKA_05299_sense"	3.86258555833912	-0.274846550779113	0.972289945102537	-0.282679618526887	0.777422441339742	NA
"PROKKA_05299_antis"	4.25041694376207	0.481280185582004	0.917013425634468	0.524834394053733	0.599698319652397	NA
"PROKKA_05300_sense"	5.86575354105645	-0.756549128029789	0.838165296227506	-0.902625211798839	0.366724841131877	NA
"PROKKA_05300_antis"	10.0625327760177	-0.222322611809486	0.64384805556496	-0.345302917183471	0.729866653800908	NA
"PROKKA_05301_igtop"	4.4708827368242	-0.0379105790242545	0.886820787458206	-0.0427488615066335	0.965901729295082	NA
"PROKKA_05301_igbot"	6.45109264220563	-0.602737650233587	0.767861678907871	-0.784956023708412	0.432479352851044	NA
"PROKKA_05301_sense"	5.92323548927049	0.682682779619277	0.795995680300054	0.857646337178535	0.391087780124063	NA
"PROKKA_05302_sense"	8.10959428427285	-0.0329060275417598	0.747012044407871	-0.0440501967646897	0.964864391440382	NA
"PROKKA_05304_sense"	7.62175462301243	0.192052701666795	0.72642369893087	0.264381106989562	0.791486268198031	NA
