  locus,TER16,TER17,TER18,TER13,TER14,TER15
PROKKA_00001_igtop,171,147,141,120,161,119
PROKKA_00001_igbot,15,6,11,6,8,20
PROKKA_00001_sense,910,943,897,867,842,905
PROKKA_00001_antis,26,28,18,14,14,16
PROKKA_00002_igtop,27,24,28,16,21,13
PROKKA_00002_igbot,0,0,0,0,0,0
PROKKA_00002_sense,701,699,725,656,693,699
PROKKA_00002_antis,11,10,8,4,6,5
PROKKA_00003_igtop,0,2,0,1,9,1
PROKKA_00003_igbot,0,0,0,0,1,0
PROKKA_00003_sense,2178,1323,1573,1576,2011,1872
PROKKA_00003_antis,12,16,8,10,9,6
PROKKA_00004_igtop,0,0,0,0,0,0
PROKKA_00004_igbot,0,0,0,0,0,0
PROKKA_00004_sense,988,970,939,987,1052,946
PROKKA_00004_antis,51,89,68,66,37,66
PROKKA_00005_igtop,0,0,0,0,0,0
PROKKA_00005_igbot,0,0,0,0,1,2
PROKKA_00005_sense,108,91,86,95,64,67
PROKKA_00005_antis,11,11,9,12,18,15
PROKKA_00006_igtop,0,0,1,0,0,0
PROKKA_00006_igbot,7,4,5,5,4,8
PROKKA_00006_sense,122,135,144,111,92,120
PROKKA_00006_antis,15,12,12,11,3,5
PROKKA_00007_igtop,2,11,11,4,3,6
PROKKA_00007_igbot,1,1,2,1,2,1
PROKKA_00007_sense,2,6,6,2,4,1
PROKKA_00007_antis,6,10,5,8,9,8
PROKKA_00008_igtop,0,0,0,0,0,0
PROKKA_00008_igbot,0,0,0,0,0,0
PROKKA_00008_sense,330,279,273,362,407,431
PROKKA_00008_antis,5,8,12,5,7,17
PROKKA_00009_igtop,0,0,0,0,0,0
PROKKA_00009_igbot,0,0,0,0,0,0
PROKKA_00009_sense,283,258,242,265,266,326
PROKKA_00009_antis,8,7,4,5,7,3
PROKKA_00010_igtop,9,19,7,10,2,9
PROKKA_00010_igbot,0,0,0,0,0,0
PROKKA_00010_sense,25,18,10,11,12,28
PROKKA_00010_antis,0,1,2,0,0,1
PROKKA_00011_igtop,76,79,136,46,55,50
PROKKA_00011_igbot,0,0,0,0,1,0
PROKKA_00011_sense,468,473,577,477,424,428
PROKKA_00011_antis,13,36,22,13,15,12
PROKKA_00012_igtop,96,105,175,117,71,137
PROKKA_00012_igbot,0,0,0,0,0,1
PROKKA_00012_sense,78,62,55,38,46,67
PROKKA_00012_antis,3,2,5,2,4,2
PROKKA_00013_igtop,17,14,27,9,23,8
PROKKA_00013_igbot,1,0,0,0,0,0
PROKKA_00013_sense,61,71,57,38,54,49
PROKKA_00013_antis,25,14,12,12,21,14
PROKKA_00014_igtop,0,5,4,3,4,3
PROKKA_00014_igbot,0,0,0,0,0,0
PROKKA_00014_sense,7,5,14,6,6,9
PROKKA_00014_antis,13,9,13,15,11,12
PROKKA_00015_igtop,4,3,7,4,7,5
PROKKA_00015_igbot,24,21,23,17,15,11
PROKKA_00015_sense,9,18,15,9,10,15
PROKKA_00015_antis,2,1,0,1,0,0
PROKKA_00016_igtop,0,0,0,1,0,0
PROKKA_00016_igbot,24,19,29,24,28,20
PROKKA_00016_sense,144,198,155,142,139,172
PROKKA_00016_antis,1,2,1,4,3,4
PROKKA_00017_igtop,0,0,0,0,0,0
PROKKA_00017_igbot,0,0,0,0,0,0
PROKKA_00017_sense,57,48,57,55,52,68
PROKKA_00017_antis,0,2,0,1,0,1
PROKKA_00018_igtop,0,0,0,0,0,0
PROKKA_00018_igbot,0,0,0,0,0,0
PROKKA_00018_sense,96,49,54,81,58,51
PROKKA_00018_antis,1,0,0,0,1,0
PROKKA_00019_igtop,0,0,0,0,0,0
PROKKA_00019_igbot,11,4,6,7,9,12
PROKKA_00019_sense,610,683,625,524,573,584
PROKKA_00019_antis,3,16,6,8,7,6
PROKKA_00020_igtop,33,176,86,84,64,92
PROKKA_00020_igbot,164,304,296,148,163,228
PROKKA_00020_sense,219,229,294,226,207,228
PROKKA_00020_antis,5,1,3,0,2,2
PROKKA_00021_igtop,0,0,0,0,1,0
PROKKA_00021_igbot,1,0,0,0,0,0
PROKKA_00021_sense,0,0,0,0,0,0
PROKKA_00021_antis,0,0,0,0,0,0
PROKKA_00022_igtop,88,95,105,67,43,78
PROKKA_00022_igbot,0,0,0,0,0,0
PROKKA_00022_sense,21,11,17,14,14,16
PROKKA_00022_antis,10,8,9,9,4,10
PROKKA_00023_igtop,0,0,0,0,0,0
PROKKA_00023_igbot,0,0,0,0,0,1
PROKKA_00023_sense,14,17,13,12,15,15
PROKKA_00023_antis,5,5,7,9,5,4
PROKKA_00024_igtop,5,14,5,10,8,7
PROKKA_00024_igbot,1,0,1,0,2,0
PROKKA_00024_sense,109,106,91,94,102,115
PROKKA_00024_antis,2,3,2,4,7,0
PROKKA_00025_igtop,0,2,5,3,1,6
PROKKA_00025_igbot,0,0,0,0,0,0
PROKKA_00025_sense,17,22,25,26,38,28
PROKKA_00025_antis,1,0,0,1,1,0
PROKKA_00026_igtop,5,14,12,12,7,11
PROKKA_00026_igbot,0,1,0,0,0,2
PROKKA_00026_sense,10,10,8,13,6,10
PROKKA_00026_antis,0,2,2,2,1,2
PROKKA_00027_igtop,0,0,0,0,0,0
PROKKA_00027_igbot,0,0,0,0,0,0
PROKKA_00027_sense,4,6,5,2,7,7
PROKKA_00027_antis,0,0,2,0,0,0
PROKKA_00028_igtop,0,0,0,0,0,0
PROKKA_00028_igbot,0,2,0,0,1,0
PROKKA_00028_sense,2,0,1,1,1,0
PROKKA_00028_antis,0,0,0,0,0,0
PROKKA_00029_igtop,0,0,0,0,0,0
PROKKA_00029_igbot,0,0,0,0,0,0
PROKKA_00029_sense,0,1,0,0,0,0
PROKKA_00029_antis,0,0,0,0,2,1
PROKKA_00030_igtop,0,0,0,0,0,0
PROKKA_00030_igbot,0,0,0,0,0,0
PROKKA_00030_sense,1,1,3,3,0,1
PROKKA_00030_antis,0,0,0,1,0,2
PROKKA_00031_igtop,0,0,0,0,0,0
PROKKA_00031_igbot,0,0,0,0,0,0
PROKKA_00031_sense,3,3,4,4,3,2
PROKKA_00031_antis,4,1,5,4,13,5
PROKKA_00032_igtop,0,5,2,4,7,5
PROKKA_00032_igbot,1,0,1,0,0,0
PROKKA_00032_sense,6,16,15,3,14,8
PROKKA_00032_antis,1,3,2,0,1,3
PROKKA_00033_igtop,0,1,0,0,1,0
PROKKA_00033_igbot,0,0,0,0,0,0
PROKKA_00033_sense,2,7,4,2,2,3
PROKKA_00033_antis,0,0,2,1,1,1
PROKKA_00034_igtop,0,0,0,0,0,0
PROKKA_00034_igbot,0,0,0,0,0,0
PROKKA_00034_sense,5,7,4,7,3,4
PROKKA_00034_antis,1,3,2,4,3,3
PROKKA_00035_igtop,0,0,0,0,0,0
PROKKA_00035_igbot,0,0,0,0,0,0
PROKKA_00035_sense,10,11,15,14,13,14
PROKKA_00035_antis,18,14,12,17,26,16
PROKKA_00036_igtop,0,0,0,0,0,2
PROKKA_00036_igbot,2,2,0,1,1,2
PROKKA_00036_sense,19,38,19,44,29,31
PROKKA_00036_antis,2,2,2,2,0,0
PROKKA_00037_igtop,0,0,0,0,0,0
PROKKA_00037_igbot,0,0,0,0,0,0
PROKKA_00037_sense,128,317,132,378,181,336
PROKKA_00037_antis,6,10,19,9,10,12
PROKKA_00038_igtop,2,6,3,2,0,3
PROKKA_00038_igbot,0,0,1,0,1,1
PROKKA_00038_sense,20,15,21,21,26,21
PROKKA_00038_antis,0,1,0,1,0,1
PROKKA_00039_igtop,13,24,15,17,16,22
PROKKA_00039_igbot,0,1,0,0,0,0
PROKKA_00039_sense,43,42,67,31,35,40
PROKKA_00039_antis,1,0,0,2,0,1
PROKKA_00040_igtop,820,1040,1148,757,729,879
PROKKA_00040_igbot,4,9,10,6,9,9
PROKKA_00040_sense,116,121,177,167,124,123
PROKKA_00040_antis,7,3,2,3,3,2
PROKKA_00041_igtop,7,21,22,14,16,12
PROKKA_00041_igbot,9,3,3,3,1,2
PROKKA_00041_sense,1,4,4,5,9,11
PROKKA_00041_antis,0,1,0,0,0,0
PROKKA_00042_igtop,0,0,0,0,0,0
PROKKA_00042_igbot,0,0,0,0,0,0
PROKKA_00042_sense,866,594,834,781,780,726
PROKKA_00042_antis,50,38,48,31,23,26
PROKKA_00043_igtop,2308,1339,2154,1618,1925,1701
PROKKA_00043_igbot,304,323,410,265,340,416
PROKKA_00043_sense,921,590,855,662,823,670
PROKKA_00043_antis,185,121,182,123,133,127
PROKKA_00044_igtop,474,337,519,323,479,334
PROKKA_00044_igbot,1254,1069,1687,1024,1017,1144
PROKKA_00044_sense,10,10,9,8,12,4
PROKKA_00044_antis,0,1,0,0,0,1
PROKKA_00045_igtop,1160,1103,1513,938,1351,1559
PROKKA_00045_igbot,104,107,135,106,133,145
PROKKA_00045_sense,1,9,6,7,4,3
PROKKA_00045_antis,11,18,7,8,13,11
PROKKA_00046_igtop,3,2,6,7,4,5
PROKKA_00046_igbot,0,3,3,2,2,4
PROKKA_00046_sense,17,18,25,24,20,20
PROKKA_00046_antis,0,2,1,2,1,0
PROKKA_00047_igtop,1,1,0,0,1,0
PROKKA_00047_igbot,0,4,0,0,0,0
PROKKA_00047_sense,1,5,5,2,2,3
PROKKA_00047_antis,6,11,11,5,2,6
PROKKA_00048_igtop,0,0,0,0,0,0
PROKKA_00048_igbot,0,0,0,0,0,0
PROKKA_00048_sense,0,1,1,0,1,3
PROKKA_00048_antis,1,0,0,0,1,1
PROKKA_00049_igtop,2,1,0,3,2,3
PROKKA_00049_igbot,4,8,7,5,15,9
PROKKA_00049_sense,15,11,12,11,11,7
PROKKA_00049_antis,6,1,5,2,7,0
PROKKA_00050_igtop,293,229,332,237,222,266
PROKKA_00050_igbot,0,3,3,0,5,2
PROKKA_00050_sense,496,397,492,623,659,727
PROKKA_00050_antis,3,4,3,2,2,4
PROKKA_00051_igtop,16,41,23,20,42,23
PROKKA_00051_igbot,0,0,0,0,0,0
PROKKA_00051_sense,68,57,63,73,85,58
PROKKA_00051_antis,0,0,0,0,0,0
PROKKA_00052_igtop,0,0,0,0,0,0
PROKKA_00052_igbot,0,0,0,0,0,0
PROKKA_00052_sense,45,35,35,60,44,53
PROKKA_00052_antis,0,1,0,0,0,0
PROKKA_00053_igtop,0,0,0,0,0,0
PROKKA_00053_igbot,0,0,0,0,0,0
PROKKA_00053_sense,0,2,0,0,0,0
PROKKA_00053_antis,8,9,11,13,13,10
PROKKA_00054_igtop,0,2,1,0,0,1
PROKKA_00054_igbot,1,1,2,0,0,1
PROKKA_00054_sense,4,0,1,1,0,3
PROKKA_00054_antis,11,8,3,7,4,7
PROKKA_00055_igtop,6,12,14,3,9,5
PROKKA_00055_igbot,1,2,1,2,5,1
PROKKA_00055_sense,3,9,7,10,4,0
PROKKA_00055_antis,4,4,12,2,3,7
PROKKA_00056_igtop,0,1,0,0,2,0
PROKKA_00056_igbot,1,3,4,1,0,2
PROKKA_00056_sense,0,0,0,0,0,0
PROKKA_00056_antis,10,11,9,9,6,12
PROKKA_00057_igtop,11,9,10,7,10,17
PROKKA_00057_igbot,12,53,63,17,33,46
PROKKA_00057_sense,5,0,3,4,2,1
PROKKA_00057_antis,1,3,4,2,0,1
PROKKA_00058_igtop,0,0,0,0,0,0
PROKKA_00058_igbot,0,0,0,0,0,0
